EAN/O0096/RF19|96|4/2/2019|4/6/2019
RLB/O0075/RF19|0|4/3/2019|4/8/2019
MOYR/O0048/RF19|96|4/4/2019|4/8/2019
MOYR/O0049/RF19|96|4/4/2019|4/8/2019
RFO/O0043/RF19|96|4/4/2019|4/8/2019
HMS/O0088/RF19|0|4/5/2019|4/10/2019
SVC/O0058/RF19|0|4/5/2019|4/26/2019
HMS/O0089/RF19|0|4/5/2019|4/10/2019
NJU/O0033/RF19|0|4/5/2019|4/10/2019
ANGE/O0049/RF19|0|4/7/2019|4/12/2019
MOYR/O0057/RF19|0|4/7/2019|4/12/2019
ALB/O0099/RF19|97|4/8/2019|4/12/2019
AMD/O0130/RF19|96|4/10/2019|4/14/2019
ANGE/O0085/RF19|96|4/10/2019|4/14/2019
JBS/O0067/RF19|96|4/10/2019|4/14/2019
MOYR/O0059/RF19|96|4/10/2019|4/14/2019
MOYR/O0061/RF19|96|4/10/2019|4/14/2019
SVC/O0059/RF19|0|4/11/2019|4/16/2019
WLE/O0064/RF19|0|4/11/2019|4/16/2019
RFO/O0049/RF19|0|4/11/2019|4/16/2019
RLB/O0076/RF19|96|4/12/2019|4/16/2019
AMD/O0142/RF19|0|4/15/2019|4/20/2019
AMD/O0141/RF19|0|4/15/2019|4/30/2019
AMD/O0138/RF19|0|4/15/2019|9/12/2019
SVC/O0063/RF19|0|4/15/2019|4/20/2019
SVC/O0064/RF19|0|4/15/2019|4/20/2019
AT0/O0110/RF19|0|4/15/2019|4/26/2019
AT0/O0111/RF19|0|4/15/2019|4/20/2019
SVC/O0065/RF19|0|4/15/2019|4/28/2019
AT0/O0115/RF19|0|4/15/2019|4/20/2019
AT0/O0116/RF19|0|4/15/2019|4/20/2019
AT0/O0117/RF19|0|4/15/2019|4/20/2019
EAN/O0105/RF19|0|4/15/2019|4/20/2019
EAN/O0106/RF19|0|4/15/2019|4/24/2019
BTE/O0067/RF19|96|4/16/2019|4/20/2019
ISO/O0036/RF19|96|4/16/2019|4/20/2019
NJU/O0031/RF19|96|4/16/2019|4/20/2019
AT0/O0025/RF19|96|4/16/2019|4/20/2019
RFA/O0030/RF19|0|4/17/2019|4/22/2019
GOY/O0031/RF19|0|4/17/2019|4/22/2019
RFO/O0042/RF19|0|4/17/2019|4/22/2019
RFO/O0040/RF19|0|4/17/2019|4/22/2019
WEC/O0058/RF19|0|4/17/2019|4/22/2019
ALB/O0117/RF19|0|4/17/2019|4/22/2019
ALB/O0118/RF19|0|4/17/2019|4/22/2019
ALB/O0142/RF19|0|4/17/2019|4/22/2019
SVC/O0071/RF19|0|4/18/2019|4/24/2019
SVC/O0077/RF19|0|4/18/2019|4/28/2019
SVC/O0079/RF19|0|4/18/2019|4/30/2019
SVC/O0080/RF19|0|4/18/2019|4/28/2019
SVC/O0081/RF19|96|4/18/2019|4/22/2019
SVC/O0082/RF19|96|4/18/2019|4/22/2019
AT0/O0136/RF19|96|4/18/2019|4/22/2019
EAN/O0021/RF19|0|4/18/2019|4/24/2019
ANGE/O0091/RF19|0|4/18/2019|4/26/2019
SVC/O0093/RF19|0|4/19/2019|4/24/2019
SVC/O0095/RF19|0|4/19/2019|4/26/2019
SVC/O0052/RF19|0|4/19/2019|4/26/2019
BTE/O0068/RF19|96|4/22/2019|4/26/2019
AMD/O0151/RF19|0|4/23/2019|4/28/2019
